"from" "to" "factor" "value" "x.to" "y.to" "x.end" "y.end" "x.from" "y.from"
"51" "01SS2N752PI" "01SS3N758PI" 1 2 377260.21413415 5014818.45057842 0 0 366075.502093945 5018833.03698849
"52" "01SS2N763PI" "01SS2N752PI" 1 2 366075.502093945 5018833.03698849 0 0 367532.356919493 5023331.92663787
"53" "01SS2N763PI" "01SS3N758PI" 1 2 377260.21413415 5014818.45057842 0 0 367532.356919493 5023331.92663787
"54" "01SS2N765PI" "01SS2N563PI" 1 4 369472.775525648 5012333.84480753 0 0 366702.149061659 5010190.13274504
"55" "01SS2N765PI" "01SS3N758PI" 1 4 377260.21413415 5014818.45057842 0 0 366702.149061659 5010190.13274504
"56" "01SS2N765PI" "01SS1N764PI" 1 4 351902.482761512 5008392.30319852 0 0 366702.149061659 5010190.13274504
"57" "01SS2N765PI" "01SS2N504PI" 1 4 373884.642839515 5007626.13773806 0 0 366702.149061659 5010190.13274504
"58" "01SS2N777PI" "01SS2N933PI" 1 1 391401.90200242 5020992.07480855 0 0 391775.894082705 5019425.3268227
"59" "01SS2N785PI" "06SS3F348PI" 1 1 399500.795936864 5021908.56376987 0 0 396450.002772338 5032073.76299857
"60" "01SS2N817PI" "01SS3N758PI" 1 2 377260.21413415 5014818.45057842 0 0 379056.857511161 5018735.18747568
"61" "01SS2N817PI" "06SS3F760PI" 1 2 388191.935138111 5006768.64848758 0 0 379056.857511161 5018735.18747568
"62" "01SS2N869PI" "01SS2N303PI" 1 1 439588.414557452 5079505.36986207 0 0 438175.608123812 5080567.6278462
"63" "01SS2N933PI" "01SS2N777PI" 1 2 391775.894082705 5019425.3268227 0 0 391401.90200242 5020992.07480855
"64" "01SS2N933PI" "01SS2N294PI" 1 2 390027.145974225 5017989.29849329 0 0 391401.90200242 5020992.07480855
"65" "01SS2N934PI" "01SS2N262PI" 1 1 419017.815371338 5042049.96011286 0 0 416368.311021304 5042783.27197736
