"from" "to" "factor" "value" "x.to" "y.to" "x.end" "y.end" "x.from" "y.from"
"213" "04SS2N147PI" "04SS2N095PI" 1 4 414184.543480604 4905511.76100365 0 0 408463.9998555 4905003.32165656
"214" "04SS2N147PI" "04SS1N146PI" 1 4 406586.676242221 4894524.79771887 0 0 408463.9998555 4905003.32165656
"215" "04SS2N147PI" "04SS3N148PI" 1 4 415248.112157469 4915863.1851082 0 0 408463.9998555 4905003.32165656
"216" "04SS2N147PI" "04SS2N673PI" 1 4 411141.58484973 4907692.56777856 0 0 408463.9998555 4905003.32165656
"217" "04SS2N169PI" "04SS3N170PI" 1 3 335990.013166899 4994607.2137027 0 0 322087.947640608 4993425.73764192
"218" "04SS2N169PI" "04SS3N975PI" 1 3 327458.779564235 4983704.56292274 0 0 322087.947640608 4993425.73764192
"219" "04SS2N169PI" "04SS2N678PI" 1 3 324778.906616482 4997583.01444285 0 0 322087.947640608 4993425.73764192
"220" "04SS2N178PI" "04SS1N177PI" 1 4 399053.672678512 4893955.32466496 0 0 399248.089746785 4903305.05043357
"221" "04SS2N178PI" "04SS3N179PI" 1 4 404666.81093427 4912893.44563335 0 0 399248.089746785 4903305.05043357
"222" "04SS2N178PI" "04SS2N304PI" 1 4 403233.952963555 4904637.69612663 0 0 399248.089746785 4903305.05043357
"223" "04SS2N178PI" "04SS2N284PI" 1 4 397638.763141012 4906625.52904115 0 0 399248.089746785 4903305.05043357
"224" "04SS2N218PI" "04SS3N171PI" 1 1 351286.50158751 4999510.9484607 0 0 353390.501064444 4996245.72970357
"225" "04SS2N219PI" "04SS2N222PI" 1 1 348692.767741381 4974194.00146146 0 0 344962.915049807 4979718.6849964
"226" "04SS2N222PI" "04SS2N219PI" 1 2 344962.915049807 4979718.6849964 0 0 348692.767741381 4974194.00146146
"227" "04SS2N222PI" "04SS3N120PI" 1 2 358040.691832161 4978598.72997522 0 0 348692.767741381 4974194.00146146
"228" "04SS2N223PI" "04SS3N225PI" 1 2 374567.415363707 4905117.89503561 0 0 364275.393506897 4898611.58897102
"229" "04SS2N223PI" "04SS2N224PI" 1 2 373478.087994307 4893419.9952542 0 0 364275.393506897 4898611.58897102
"230" "04SS2N234PI" "04SS3N922PI" 1 2 376686.417342449 4935929.95595775 0 0 365298.943003336 4938959.13338591
"231" "04SS2N234PI" "04SS2N921PI" 1 2 362730.547897201 4936519.0908179 0 0 365298.943003336 4938959.13338591
"232" "04SS2N920PI" "04SS2N918PI" 1 2 342919.530532706 4938202.02802469 0 0 351457.45974792 4939169.72246637
"233" "04SS2N920PI" "04SS2N921PI" 1 2 362730.547897201 4936519.0908179 0 0 351457.45974792 4939169.72246637
"234" "04SS2N927PI" "04SS3N226PI" 1 2 382556.361949603 4912552.80585798 0 0 384687.614088005 4898276.95440827
"235" "04SS2N927PI" "04SS2N889PI" 1 2 381213.661710443 4896387.30927249 0 0 384687.614088005 4898276.95440827
"236" "04SS3N120PI" "04SS1N648PI" 1 8 361934.366774544 4970160.02519055 0 0 358040.691832161 4978598.72997522
"237" "04SS3N120PI" "04SS1N663PI" 1 8 359457.449766358 4973335.9187743 0 0 358040.691832161 4978598.72997522
"238" "04SS3N120PI" "04SS1N860PI" 1 8 349883.555600106 4983257.23940859 0 0 358040.691832161 4978598.72997522
"239" "04SS3N120PI" "04SS2N119PI" 1 8 343133.773054182 4987862.49455833 0 0 358040.691832161 4978598.72997522
"240" "04SS3N120PI" "04SS1N133PI" 1 8 358649.245195002 4982024.71695402 0 0 358040.691832161 4978598.72997522
"241" "04SS3N120PI" "04SS2N222PI" 1 8 348692.767741381 4974194.00146146 0 0 358040.691832161 4978598.72997522
"242" "04SS3N120PI" "04SS2N239PI" 1 8 361644.184235116 4978643.79989905 0 0 358040.691832161 4978598.72997522
"243" "04SS3N120PI" "06SS3F121PI" 1 8 370029.030915356 4968199.56147793 0 0 358040.691832161 4978598.72997522
"244" "04SS3N148PI" "04SS2N095PI" 1 5 414184.543480604 4905511.76100365 0 0 415248.112157469 4915863.1851082
"245" "04SS3N148PI" "04SS2N147PI" 1 5 408463.9998555 4905003.32165656 0 0 415248.112157469 4915863.1851082
"246" "04SS3N148PI" "04SS2N321PI" 1 5 417536.455955885 4911638.48438135 0 0 415248.112157469 4915863.1851082
"247" "04SS3N148PI" "06SS4F802PI" 1 5 412936.893288412 4928800.7428567 0 0 415248.112157469 4915863.1851082
"248" "04SS3N148PI" "09SS3N801PI" 1 5 422664.717090784 4913200.19778549 0 0 415248.112157469 4915863.1851082
"249" "04SS3N170PI" "04SS1N443PI" 1 9 328176.867408404 4981391.79573349 0 0 335990.013166899 4994607.2137027
"250" "04SS3N170PI" "04SS1N447PI" 1 9 332338.303559754 4994772.98606291 0 0 335990.013166899 4994607.2137027
"251" "04SS3N170PI" "04SS1N597PI" 1 9 335094.420465883 4997336.71757715 0 0 335990.013166899 4994607.2137027
"252" "04SS3N170PI" "04SS1N911PI" 1 9 341992.818110492 4995870.86515428 0 0 335990.013166899 4994607.2137027
"253" "04SS3N170PI" "04SS1N127PI" 1 9 340472.015398485 5000774.91823078 0 0 335990.013166899 4994607.2137027
"254" "04SS3N170PI" "04SS1N217PI" 1 9 344369.526694355 4996962.07051732 0 0 335990.013166899 4994607.2137027
"255" "04SS3N170PI" "04SS2N169PI" 1 9 322087.947640608 4993425.73764192 0 0 335990.013166899 4994607.2137027
"256" "04SS3N170PI" "04SS3N171PI" 1 9 351286.50158751 4999510.9484607 0 0 335990.013166899 4994607.2137027
"257" "04SS3N170PI" "04SS3N975PI" 1 9 327458.779564235 4983704.56292274 0 0 335990.013166899 4994607.2137027
"258" "04SS3N171PI" "04SS1N448PI" 1 11 348212.945676513 5002557.72158727 0 0 351286.50158751 4999510.9484607
"259" "04SS3N171PI" "04SS1N456PI" 1 11 346415.290347361 4997727.60453301 0 0 351286.50158751 4999510.9484607
"260" "04SS3N171PI" "04SS2N102PI" 1 11 344753.538826742 5005502.8078859 0 0 351286.50158751 4999510.9484607
"261" "04SS3N171PI" "04SS1N127PI" 1 11 340472.015398485 5000774.91823078 0 0 351286.50158751 4999510.9484607
"262" "04SS3N171PI" "04SS1N314PI" 1 11 353655.287638639 5002460.25721267 0 0 351286.50158751 4999510.9484607
"263" "04SS3N171PI" "04SS1N377PI" 1 11 357812.780988344 5002358.02561032 0 0 351286.50158751 4999510.9484607
"264" "04SS3N171PI" "04SS1N413PI" 1 11 351478.792981199 4997248.19489935 0 0 351286.50158751 4999510.9484607
"265" "04SS3N171PI" "04SS2N218PI" 1 11 353390.501064444 4996245.72970357 0 0 351286.50158751 4999510.9484607
"266" "04SS3N171PI" "04SS3N170PI" 1 11 335990.013166899 4994607.2137027 0 0 351286.50158751 4999510.9484607
"267" "04SS3N171PI" "04SS3N172PI" 1 11 368384.09495004 4996163.65545596 0 0 351286.50158751 4999510.9484607
"268" "04SS3N171PI" "04SS2N250PI" 1 11 357551.239590892 4994879.39114338 0 0 351286.50158751 4999510.9484607
"269" "04SS3N172PI" "04SS1N408PI" 1 7 361442.900064796 4995775.65744789 0 0 368384.09495004 4996163.65545596
"270" "04SS3N172PI" "04SS3N171PI" 1 7 351286.50158751 4999510.9484607 0 0 368384.09495004 4996163.65545596
"271" "04SS3N172PI" "04SS2N249PI" 1 7 363638.995122438 5000996.94930544 0 0 368384.09495004 4996163.65545596
"272" "04SS3N172PI" "04SS2N250PI" 1 7 357551.239590892 4994879.39114338 0 0 368384.09495004 4996163.65545596
"273" "04SS3N172PI" "04SS2N728PI" 1 7 367694.289506489 5001116.83307447 0 0 368384.09495004 4996163.65545596
"274" "04SS3N172PI" "04SS2N781PI" 1 7 373065.128197379 4999737.97817214 0 0 368384.09495004 4996163.65545596
"275" "04SS3N172PI" "06SS4F173PI" 1 7 388160.964589229 4993894.85497545 0 0 368384.09495004 4996163.65545596
"276" "04SS3N179PI" "04SS1N184PI" 1 5 407708.606707267 4913149.01146455 0 0 404666.81093427 4912893.44563335
"277" "04SS3N179PI" "04SS1N332PI" 1 5 405601.819895279 4910202.80273928 0 0 404666.81093427 4912893.44563335
"278" "04SS3N179PI" "04SS2N178PI" 1 5 399248.089746785 4903305.05043357 0 0 404666.81093427 4912893.44563335
"279" "04SS3N179PI" "04SS2N304PI" 1 5 403233.952963555 4904637.69612663 0 0 404666.81093427 4912893.44563335
"280" "04SS3N179PI" "06SS3F180PI" 1 5 408593.240844825 4918308.27740256 0 0 404666.81093427 4912893.44563335
"281" "04SS3N225PI" "04SS2N223PI" 1 2 364275.393506897 4898611.58897102 0 0 374567.415363707 4905117.89503561
"282" "04SS3N225PI" "04SS3N226PI" 1 2 382556.361949603 4912552.80585798 0 0 374567.415363707 4905117.89503561
"283" "04SS3N226PI" "04SS2N927PI" 1 4 384687.614088005 4898276.95440827 0 0 382556.361949603 4912552.80585798
"284" "04SS3N226PI" "04SS3N225PI" 1 4 374567.415363707 4905117.89503561 0 0 382556.361949603 4912552.80585798
"285" "04SS3N226PI" "04SS3N756PI" 1 4 379902.692479386 4913445.9103748 0 0 382556.361949603 4912552.80585798
"286" "04SS3N226PI" "06SS4F757PI" 1 4 398536.207269008 4932356.83793112 0 0 382556.361949603 4912552.80585798
"287" "04SS3N288PI" "04SS1N601PI" 1 9 352964.531335479 4924539.82866315 0 0 357345.084137265 4927983.44542855
"288" "04SS3N288PI" "04SS1N041PI" 1 9 351035.103635742 4931270.58106487 0 0 357345.084137265 4927983.44542855
"289" "04SS3N288PI" "04SS1N230PI" 1 9 361935.23951151 4924373.12718108 0 0 357345.084137265 4927983.44542855
"290" "04SS3N288PI" "04SS1N375PI" 1 9 365043.067693078 4923162.20896703 0 0 357345.084137265 4927983.44542855
"291" "04SS3N288PI" "04SS3N289PI" 1 9 373248.88714965 4926101.93882836 0 0 357345.084137265 4927983.44542855
"292" "04SS3N288PI" "04SS2N287PI" 1 9 339492.861315411 4926969.38506015 0 0 357345.084137265 4927983.44542855
"293" "04SS3N288PI" "04SS2N301PI" 1 9 348805.168873178 4922322.35725182 0 0 357345.084137265 4927983.44542855
"294" "04SS3N288PI" "04SS2N902PI" 1 9 347582.308610593 4932362.31103741 0 0 357345.084137265 4927983.44542855
"295" "04SS3N288PI" "04SS1N143PI" 1 9 359104.292529737 4925196.97203162 0 0 357345.084137265 4927983.44542855
"296" "04SS3N289PI" "04SS1N674PI" 1 5 368044.067447167 4925950.29675574 0 0 373248.88714965 4926101.93882836
"297" "04SS3N289PI" "04SS1N375PI" 1 5 365043.067693078 4923162.20896703 0 0 373248.88714965 4926101.93882836
"298" "04SS3N289PI" "04SS3N288PI" 1 5 357345.084137265 4927983.44542855 0 0 373248.88714965 4926101.93882836
"299" "04SS3N289PI" "04SS2N798PI" 1 5 375887.603338904 4928355.41194917 0 0 373248.88714965 4926101.93882836
"300" "04SS3N289PI" "06SS3F290PI" 1 5 382777.833077238 4932924.91256272 0 0 373248.88714965 4926101.93882836
"301" "04SS3N755PI" "04SS1N560PI" 1 8 371743.577721175 4912134.12683184 0 0 364815.326264951 4908050.55043199
"302" "04SS3N755PI" "04SS1N905PI" 1 8 358440.653214181 4904540.53594683 0 0 364815.326264951 4908050.55043199
"303" "04SS3N755PI" "04SS1N330PI" 1 8 353301.37418924 4909000.62971935 0 0 364815.326264951 4908050.55043199
"304" "04SS3N755PI" "04SS1N442PI" 1 8 369246.183213151 4910736.09826624 0 0 364815.326264951 4908050.55043199
"305" "04SS3N755PI" "04SS3N756PI" 1 8 379902.692479386 4913445.9103748 0 0 364815.326264951 4908050.55043199
"306" "04SS3N755PI" "04SS2N754PI" 1 8 342915.193807036 4910992.01170715 0 0 364815.326264951 4908050.55043199
"307" "04SS3N755PI" "04SS2N906PI" 1 8 358393.767526873 4911222.88718988 0 0 364815.326264951 4908050.55043199
"308" "04SS3N755PI" "04SS2N912PI" 1 8 354253.277774786 4902494.26991914 0 0 364815.326264951 4908050.55043199
"309" "04SS3N756PI" "04SS1N560PI" 1 4 371743.577721175 4912134.12683184 0 0 379902.692479386 4913445.9103748
"310" "04SS3N756PI" "04SS3N226PI" 1 4 382556.361949603 4912552.80585798 0 0 379902.692479386 4913445.9103748
"311" "04SS3N756PI" "04SS3N755PI" 1 4 364815.326264951 4908050.55043199 0 0 379902.692479386 4913445.9103748
"312" "04SS3N756PI" "06SS4F757PI" 1 4 398536.207269008 4932356.83793112 0 0 379902.692479386 4913445.9103748
"313" "04SS3N922PI" "04SS2N234PI" 1 4 365298.943003336 4938959.13338591 0 0 376686.417342449 4935929.95595775
"314" "04SS3N922PI" "04SS2N646PI" 1 4 373671.677998964 4932069.16167967 0 0 376686.417342449 4935929.95595775
"315" "04SS3N922PI" "06SS2N989PI" 1 4 378461.100635735 4935721.59286704 0 0 376686.417342449 4935929.95595775
"316" "04SS3N922PI" "04SS2N921PI" 1 4 362730.547897201 4936519.0908179 0 0 376686.417342449 4935929.95595775
"317" "04SS3N975PI" "04SS1N443PI" 1 6 328176.867408404 4981391.79573349 0 0 327458.779564235 4983704.56292274
"318" "04SS3N975PI" "04SS1N444PI" 1 6 324664.048832501 4983581.98489721 0 0 327458.779564235 4983704.56292274
"319" "04SS3N975PI" "04SS2N169PI" 1 6 322087.947640608 4993425.73764192 0 0 327458.779564235 4983704.56292274
"320" "04SS3N975PI" "04SS3N170PI" 1 6 335990.013166899 4994607.2137027 0 0 327458.779564235 4983704.56292274
"321" "04SS3N975PI" "04SS2N661PI" 1 6 336444.301330938 4973469.90189376 0 0 327458.779564235 4983704.56292274
"322" "04SS3N975PI" "04SS2N819PI" 1 6 330807.34464951 4972490.05873286 0 0 327458.779564235 4983704.56292274
"323" "05SS1N057PI" "05SS2N058PI" 1 1 426860.427471806 4964759.08270561 0 0 420074.95649799 4957298.24845806
"324" "05SS1N213PI" "05SS3N751PI" 1 2 446033.642609866 4996729.18078504 0 0 438793.151490264 4997913.47764393
"325" "05SS1N213PI" "05SS2N750PI" 1 2 434159.828101502 4993684.04569724 0 0 438793.151490264 4997913.47764393
"326" "05SS1N242PI" "05SS2N243PI" 1 1 454004.629414869 4983181.47365554 0 0 443412.743395946 4985167.2592866
"327" "05SS1N286PI" "05SS3N930PI" 1 1 439663.185053134 4976326.94489663 0 0 436997.999227046 4978888.72631995
"328" "05SS1N306PI" "05SS3N847PI" 1 1 424775.994286485 4976650.8168741 0 0 424020.567108418 4988629.54665959
"329" "05SS1N416PI" "05SS3N751PI" 1 1 446033.642609866 4996729.18078504 0 0 444764.411599423 4999445.25865869
"330" "05SS1N427PI" "05SS4N803PI" 1 1 420514.765565343 4950352.3646568 0 0 411975.905081672 4949566.11702166
"331" "05SS1N429PI" "06SS4D999PI" 1 1 405446.736671653 4998287.56450512 0 0 410237.388129026 4998854.82305989
"332" "05SS1N439PI" "05SS3N751PI" 1 1 446033.642609866 4996729.18078504 0 0 443485.731869654 4994284.53014534
"333" "04SS2N239PI" "04SS3N120PI" 1 1 358040.691832161 4978598.72997522 0 0 361644.184235116 4978643.79989905
"334" "04SS2N246PI" "04SS1N245PI" 1 3 356145.016858584 4917744.43197014 0 0 367738.966190958 4918766.02685905
"335" "04SS2N246PI" "06SS3F247PI" 1 3 384472.613843531 4925716.02345885 0 0 367738.966190958 4918766.02685905
"336" "04SS2N246PI" "04SS2N689PI" 1 3 375869.40309185 4916134.87096075 0 0 367738.966190958 4918766.02685905
"337" "04SS2N249PI" "04SS3N172PI" 1 1 368384.09495004 4996163.65545596 0 0 363638.995122438 5000996.94930544
"338" "04SS2N250PI" "04SS3N171PI" 1 2 351286.50158751 4999510.9484607 0 0 357551.239590892 4994879.39114338
"339" "04SS2N250PI" "04SS3N172PI" 1 2 368384.09495004 4996163.65545596 0 0 357551.239590892 4994879.39114338
"340" "04SS2N285PI" "06SS3F363PI" 1 1 368517.025320793 4964222.27312589 0 0 358524.068510922 4960326.34657811
"341" "04SS2N287PI" "04SS3N288PI" 1 3 357345.084137265 4927983.44542855 0 0 339492.861315411 4926969.38506015
"342" "04SS2N287PI" "04SS2N301PI" 1 3 348805.168873178 4922322.35725182 0 0 339492.861315411 4926969.38506015
"343" "04SS2N287PI" "04SS2N316PI" 1 3 339036.620965342 4930086.39534529 0 0 339492.861315411 4926969.38506015
"344" "04SS2N301PI" "04SS3N288PI" 1 3 357345.084137265 4927983.44542855 0 0 348805.168873178 4922322.35725182
"345" "04SS2N301PI" "04SS2N287PI" 1 3 339492.861315411 4926969.38506015 0 0 348805.168873178 4922322.35725182
"346" "04SS2N301PI" "04SS2N395PI" 1 3 345837.649683064 4920713.86084465 0 0 348805.168873178 4922322.35725182
"347" "04SS2N304PI" "04SS2N178PI" 1 2 399248.089746785 4903305.05043357 0 0 403233.952963555 4904637.69612663
"348" "04SS2N304PI" "04SS3N179PI" 1 2 404666.81093427 4912893.44563335 0 0 403233.952963555 4904637.69612663
"349" "04SS2N316PI" "04SS2N287PI" 1 1 339492.861315411 4926969.38506015 0 0 339036.620965342 4930086.39534529
"350" "04SS2N321PI" "04SS1N320PI" 1 2 418046.676438873 4902029.81454208 0 0 417536.455955885 4911638.48438135
"351" "04SS2N321PI" "04SS3N148PI" 1 2 415248.112157469 4915863.1851082 0 0 417536.455955885 4911638.48438135
"352" "04SS2N328PI" "09SS2N800PI" 1 1 414880.533379148 4892385.31861704 0 0 400035.363589642 4888132.79467715
"353" "04SS2N362PI" "04SS2N013PI" 1 3 356544.905587095 4968148.31937844 0 0 350806.860141712 4962872.37948864
"354" "04SS2N362PI" "04SS1N361PI" 1 3 344836.72904054 4956446.23862384 0 0 350806.860141712 4962872.37948864
"355" "04SS2N362PI" "06SS3F363PI" 1 3 368517.025320793 4964222.27312589 0 0 350806.860141712 4962872.37948864
"356" "04SS2N369PI" "04SS2N075PI" 1 4 392007.606759967 4912012.4002168 0 0 395367.258844927 4909742.97911444
"357" "04SS2N369PI" "04SS1N199PI" 1 4 396186.094536127 4910004.2102202 0 0 395367.258844927 4909742.97911444
"358" "04SS2N369PI" "04SS1N368PI" 1 4 392726.183439374 4897213.93058471 0 0 395367.258844927 4909742.97911444
"359" "04SS2N369PI" "06SS3F370PI" 1 4 405176.597768049 4921808.13198931 0 0 395367.258844927 4909742.97911444
"360" "04SS2N395PI" "04SS2N301PI" 1 1 348805.168873178 4922322.35725182 0 0 345837.649683064 4920713.86084465
"361" "04SS2N618PI" "04SS2N704PI" 1 1 368796.109779175 4987934.93379954 0 0 368988.851569645 4989994.79521635
"362" "04SS2N619PI" "04SS2N704PI" 1 1 368796.109779175 4987934.93379954 0 0 371179.408885897 4990032.86306467
"363" "04SS2N646PI" "04SS3N922PI" 1 1 376686.417342449 4935929.95595775 0 0 373671.677998964 4932069.16167967
"364" "04SS2N661PI" "04SS3N975PI" 1 2 327458.779564235 4983704.56292274 0 0 336444.301330938 4973469.90189376
"365" "04SS2N661PI" "04SS2N819PI" 1 2 330807.34464951 4972490.05873286 0 0 336444.301330938 4973469.90189376
"366" "04SS2N673PI" "04SS2N147PI" 1 1 408463.9998555 4905003.32165656 0 0 411141.58484973 4907692.56777856
"367" "04SS2N678PI" "04SS2N169PI" 1 1 322087.947640608 4993425.73764192 0 0 324778.906616482 4997583.01444285
"368" "04SS2N704PI" "04SS1N703PI" 1 5 359272.161355962 4987004.06603854 0 0 368796.109779175 4987934.93379954
"369" "04SS2N704PI" "04SS1N809PI" 1 5 364803.285106395 4986856.2223694 0 0 368796.109779175 4987934.93379954
"370" "04SS2N704PI" "04SS2N618PI" 1 5 368988.851569645 4989994.79521635 0 0 368796.109779175 4987934.93379954
"371" "04SS2N704PI" "04SS2N619PI" 1 5 371179.408885897 4990032.86306467 0 0 368796.109779175 4987934.93379954
"372" "04SS2N704PI" "06SS3F705PI" 1 5 390210.367909357 4985368.24953504 0 0 368796.109779175 4987934.93379954
"373" "04SS2N728PI" "04SS3N172PI" 1 1 368384.09495004 4996163.65545596 0 0 367694.289506489 5001116.83307447
"374" "04SS2N754PI" "04SS1N753PI" 1 4 336171.285368357 4917680.28399675 0 0 342915.193807036 4910992.01170715
"375" "04SS2N754PI" "04SS3N755PI" 1 4 364815.326264951 4908050.55043199 0 0 342915.193807036 4910992.01170715
"376" "04SS2N754PI" "04SS2N772PI" 1 4 345318.539692532 4905938.1390127 0 0 342915.193807036 4910992.01170715
"377" "04SS2N754PI" "04SS2N909PI" 1 4 351849.409089244 4904974.53543762 0 0 342915.193807036 4910992.01170715
"378" "04SS2N772PI" "04SS2N754PI" 1 1 342915.193807036 4910992.01170715 0 0 345318.539692532 4905938.1390127
"379" "04SS2N781PI" "04SS3N172PI" 1 2 368384.09495004 4996163.65545596 0 0 373065.128197379 4999737.97817214
"380" "04SS2N781PI" "06SS4F173PI" 1 2 388160.964589229 4993894.85497545 0 0 373065.128197379 4999737.97817214
"381" "04SS2N798PI" "04SS3N289PI" 1 2 373248.88714965 4926101.93882836 0 0 375887.603338904 4928355.41194917
"382" "04SS2N798PI" "06SS3F290PI" 1 2 382777.833077238 4932924.91256272 0 0 375887.603338904 4928355.41194917
"383" "04SS2N799PI" "09SS2N800PI" 1 1 414880.533379148 4892385.31861704 0 0 401613.556265824 4883235.5575746
"384" "04SS2N889PI" "04SS2N927PI" 1 1 384687.614088005 4898276.95440827 0 0 381213.661710443 4896387.30927249
"385" "04SS2N902PI" "04SS3N288PI" 1 1 357345.084137265 4927983.44542855 0 0 347582.308610593 4932362.31103741
"386" "04SS2N906PI" "04SS3N755PI" 1 1 364815.326264951 4908050.55043199 0 0 358393.767526873 4911222.88718988
"387" "04SS2N909PI" "04SS2N754PI" 1 1 342915.193807036 4910992.01170715 0 0 351849.409089244 4904974.53543762
"388" "04SS2N912PI" "04SS3N755PI" 1 1 364815.326264951 4908050.55043199 0 0 354253.277774786 4902494.26991914
"389" "04SS2N918PI" "04SS2N920PI" 1 2 351457.45974792 4939169.72246637 0 0 342919.530532706 4938202.02802469
"390" "04SS2N918PI" "04SS2N919PI" 1 2 344868.840496891 4943038.74327693 0 0 342919.530532706 4938202.02802469
"391" "04SS2N919PI" "04SS2N918PI" 1 1 342919.530532706 4938202.02802469 0 0 344868.840496891 4943038.74327693
"392" "05SS2N892PI" "05SS3N847PI" 1 1 424775.994286485 4976650.8168741 0 0 422232.012753674 4970275.67142152
"393" "05SS2N900PI" "05SS3N059PI" 1 1 433687.316168241 4970914.68254046 0 0 430376.473635052 4973368.10714374
"394" "05SS2N929PI" "05SS3N930PI" 1 3 439663.185053134 4976326.94489663 0 0 431924.637343906 4987811.87970833
"395" "05SS2N929PI" "05SS1N928PI" 1 3 425509.834978414 4993559.40170697 0 0 431924.637343906 4987811.87970833
"396" "05SS2N929PI" "05SS2N655PI" 1 3 438366.045344137 4986821.96121411 0 0 431924.637343906 4987811.87970833
"397" "05SS3N059PI" "05SS2N900PI" 1 7 430376.473635052 4973368.10714374 0 0 433687.316168241 4970914.68254046
"398" "05SS3N059PI" "05SS3N847PI" 1 7 424775.994286485 4976650.8168741 0 0 433687.316168241 4970914.68254046
"399" "05SS3N059PI" "05SS4N804PI" 1 7 433157.22675447 4963972.9152365 0 0 433687.316168241 4970914.68254046
"400" "05SS3N059PI" "05SS4N805PI" 1 7 442465.537647185 4970269.01898008 0 0 433687.316168241 4970914.68254046
"401" "05SS3N059PI" "05SS1N880PI" 1 7 431774.99315437 4972189.21304773 0 0 433687.316168241 4970914.68254046
"402" "05SS3N059PI" "05SS2N058PI" 1 7 426860.427471806 4964759.08270561 0 0 433687.316168241 4970914.68254046
"403" "05SS3N059PI" "05SS2N509PI" 1 7 433263.275447383 4975739.63950177 0 0 433687.316168241 4970914.68254046
"404" "05SS3N751PI" "05SS1N213PI" 1 8 438793.151490264 4997913.47764393 0 0 446033.642609866 4996729.18078504
"405" "05SS3N751PI" "05SS1N416PI" 1 8 444764.411599423 4999445.25865869 0 0 446033.642609866 4996729.18078504
"406" "05SS3N751PI" "05SS1N439PI" 1 8 443485.731869654 4994284.53014534 0 0 446033.642609866 4996729.18078504
"407" "05SS3N751PI" "05SS1N482PI" 1 8 447981.522253936 4994554.2740222 0 0 446033.642609866 4996729.18078504
"408" "05SS3N751PI" "05SS2N131PI" 1 8 444802.657018457 4992319.30773191 0 0 446033.642609866 4996729.18078504
"409" "05SS3N751PI" "05SS2N750PI" 1 8 434159.828101502 4993684.04569724 0 0 446033.642609866 4996729.18078504
"410" "05SS3N751PI" "06SS4T385PI" 1 8 437530.675119795 5002222.53289109 0 0 446033.642609866 4996729.18078504
"411" "05SS3N751PI" "06SS4T386PI" 1 8 457609.803174301 4999302.51487383 0 0 446033.642609866 4996729.18078504
"412" "05SS3N847PI" "05SS1N306PI" 1 8 424020.567108418 4988629.54665959 0 0 424775.994286485 4976650.8168741
"413" "05SS3N847PI" "05SS2N892PI" 1 8 422232.012753674 4970275.67142152 0 0 424775.994286485 4976650.8168741
"414" "05SS3N847PI" "05SS3N059PI" 1 8 433687.316168241 4970914.68254046 0 0 424775.994286485 4976650.8168741
"415" "05SS3N847PI" "05SS2N058PI" 1 8 426860.427471806 4964759.08270561 0 0 424775.994286485 4976650.8168741
"416" "05SS3N847PI" "05SS2N318PI" 1 8 427709.573974251 4975130.21755969 0 0 424775.994286485 4976650.8168741
"417" "05SS3N847PI" "05SS2N422PI" 1 8 422583.276121045 4988118.40093863 0 0 424775.994286485 4976650.8168741
"418" "05SS3N847PI" "05SS2N617PI" 1 8 421480.282111701 4984692.99992903 0 0 424775.994286485 4976650.8168741
"419" "05SS3N847PI" "05SS2N845PI" 1 8 419475.103839751 4983012.96826392 0 0 424775.994286485 4976650.8168741
"420" "05SS3N930PI" "05SS1N286PI" 1 5 436997.999227046 4978888.72631995 0 0 439663.185053134 4976326.94489663
"421" "05SS3N930PI" "05SS2N929PI" 1 5 431924.637343906 4987811.87970833 0 0 439663.185053134 4976326.94489663
"422" "05SS3N930PI" "05SS4N805PI" 1 5 442465.537647185 4970269.01898008 0 0 439663.185053134 4976326.94489663
"423" "05SS3N930PI" "05SS1N853PI" 1 5 440292.491996441 4975140.81002847 0 0 439663.185053134 4976326.94489663
"424" "05SS3N930PI" "05SS2N655PI" 1 5 438366.045344137 4986821.96121411 0 0 439663.185053134 4976326.94489663
"425" "05SS3T046PI" "05SS2N333PI" 1 6 444064.322631535 4957893.81483119 0 0 448682.286354538 4957276.45034409
"426" "05SS3T046PI" "08SS1N227PI" 1 6 452995.272398519 4958249.00754074 0 0 448682.286354538 4957276.45034409
"427" "05SS3T046PI" "08SS1N882PI" 1 6 441166.113581846 4949335.05399371 0 0 448682.286354538 4957276.45034409
"428" "05SS3T046PI" "06SS3T047PI" 1 6 458433.208210711 4965426.45306169 0 0 448682.286354538 4957276.45034409
"429" "05SS3T046PI" "08SS2N826PI" 1 6 434203.001598092 4953589.7274163 0 0 448682.286354538 4957276.45034409
"430" "05SS3T046PI" "08SS3N045PI" 1 6 435906.276197073 4946024.95536626 0 0 448682.286354538 4957276.45034409
"431" "05SS4N804PI" "05SS3N059PI" 1 4 433687.316168241 4970914.68254046 0 0 433157.22675447 4963972.9152365
"432" "05SS4N804PI" "05SS4N805PI" 1 4 442465.537647185 4970269.01898008 0 0 433157.22675447 4963972.9152365
"433" "05SS4N804PI" "05SS1N520PI" 1 4 434736.646598289 4962252.06856252 0 0 433157.22675447 4963972.9152365
"434" "05SS4N804PI" "05SS4N803PI" 1 4 420514.765565343 4950352.3646568 0 0 433157.22675447 4963972.9152365
"435" "05SS4N805PI" "05SS3N059PI" 1 8 433687.316168241 4970914.68254046 0 0 442465.537647185 4970269.01898008
"436" "05SS4N805PI" "05SS3N930PI" 1 8 439663.185053134 4976326.94489663 0 0 442465.537647185 4970269.01898008
"437" "05SS4N805PI" "05SS4N804PI" 1 8 433157.22675447 4963972.9152365 0 0 442465.537647185 4970269.01898008
